  BasePosX	  BasePosY	  BasePosZ	  BaseOriX	  BaseOriY	  BaseOriZ	JointPos1X	JointPos1Y	JointPos1Z	JointPos2X	JointPos2Y	JointPos2Z	JointPos3X	JointPos3Y	JointPos3Z	JointPos4X	JointPos4Y	JointPos4Z	JointPos5X	JointPos5Y	JointPos5Z	JointPos6X	JointPos6Y	JointPos6Z	JointPos7X	JointPos7Y	JointPos7Z	JointPos8X	JointPos8Y	JointPos8Z	
 -0.000000	  0.221610	  0.000000	 -0.000000	  0.000000	 -0.000000	 -0.160000	  0.331610	  0.000000	 -0.272267	  0.107116	  0.000000	 -0.288380	 -0.073165	  0.000000	 -0.331727	 -0.098085	  0.000000	  0.160000	  0.331610	  0.000000	  0.272267	  0.107116	  0.000000	  0.288380	 -0.073165	  0.000000	  0.331727	 -0.098085	  0.000000	
 -0.000000	  0.224801	  0.000000	 -0.000000	  0.000000	 -0.000000	 -0.160000	  0.334801	  0.000000	 -0.258799	  0.104064	  0.000000	 -0.268125	 -0.076696	  0.000000	 -0.302585	 -0.112925	  0.000000	  0.160000	  0.334801	  0.000000	  0.258799	  0.104064	  0.000000	  0.268125	 -0.076696	  0.000000	  0.302585	 -0.112925	  0.000000	
 -0.000000	  0.227515	  0.000000	 -0.000000	  0.000000	 -0.000000	 -0.160000	  0.337515	  0.000000	 -0.244575	  0.101193	  0.000000	 -0.248610	 -0.079762	  0.000000	 -0.270871	 -0.124533	  0.000000	  0.160000	  0.337515	  0.000000	  0.244575	  0.101193	  0.000000	  0.248610	 -0.079762	  0.000000	  0.270871	 -0.124533	  0.000000	
 -0.000000	  0.229680	  0.000000	 -0.000000	  0.000000	 -0.000000	 -0.160000	  0.339680	  0.000000	 -0.229589	  0.098519	  0.000000	 -0.229643	 -0.082481	  0.000000	 -0.237396	 -0.131876	  0.000000	  0.160000	  0.339680	  0.000000	  0.229589	  0.098519	  0.000000	  0.229643	 -0.082481	  0.000000	  0.237396	 -0.131876	  0.000000	
 -0.000000	  0.231232	  0.000000	 -0.000000	  0.000000	 -0.000000	 -0.160000	  0.341232	  0.000000	 -0.213865	  0.096080	  0.000000	 -0.210902	 -0.084896	  0.000000	 -0.203381	 -0.134327	  0.000000	  0.160000	  0.341232	  0.000000	  0.213865	  0.096080	  0.000000	  0.210902	 -0.084896	  0.000000	  0.203381	 -0.134327	  0.000000	
 -0.000000	  0.232137	  0.000000	 -0.000000	  0.000000	 -0.000000	 -0.160000	  0.342137	  0.000000	 -0.197484	  0.093952	  0.000000	 -0.192002	 -0.086965	  0.000000	 -0.170194	 -0.131959	  0.000000	  0.160000	  0.342137	  0.000000	  0.197484	  0.093952	  0.000000	  0.192002	 -0.086965	  0.000000	  0.170194	 -0.131959	  0.000000	
 -0.000000	  0.232399	  0.000000	 -0.000000	  0.000000	 -0.000000	 -0.160000	  0.342399	  0.000000	 -0.180571	  0.092243	  0.000000	 -0.172625	 -0.088582	  0.000000	 -0.138945	 -0.125537	  0.000000	  0.160000	  0.342399	  0.000000	  0.180571	  0.092243	  0.000000	  0.172625	 -0.088582	  0.000000	  0.138945	 -0.125537	  0.000000	
 -0.000000	  0.232048	  0.000000	 -0.000000	  0.000000	 -0.000000	 -0.160000	  0.342048	  0.000000	 -0.163266	  0.091070	  0.000000	 -0.152597	 -0.089616	  0.000000	 -0.110231	 -0.116169	  0.000000	  0.160000	  0.342048	  0.000000	  0.163266	  0.091070	  0.000000	  0.152597	 -0.089616	  0.000000	  0.110231	 -0.116169	  0.000000	
 -0.000000	  0.231124	  0.000000	 -0.000000	  0.000000	 -0.000000	 -0.160000	  0.341124	  0.000000	 -0.145706	  0.090532	  0.000000	 -0.131886	 -0.089940	  0.000000	 -0.084184	 -0.104924	  0.000000	  0.160000	  0.341124	  0.000000	  0.145706	  0.090532	  0.000000	  0.131886	 -0.089940	  0.000000	  0.084184	 -0.104924	  0.000000	
 -0.000000	  0.229660	  0.000000	 -0.000000	  0.000000	 -0.000000	 -0.160000	  0.339660	  0.000000	 -0.128015	  0.090706	  0.000000	 -0.110547	 -0.089449	  0.000000	 -0.060649	 -0.092631	  0.000000	  0.160000	  0.339660	  0.000000	  0.128015	  0.090706	  0.000000	  0.110547	 -0.089449	  0.000000	  0.060649	 -0.092631	  0.000000	
