3.4 -0.00410287 -0.00054754 0 -0 0 -1.15954 0.490848 5.72296e-06 0 -0 0 -0.00346515 -49.886 104.316 -53.2736 0.00996719
3.5 -0.00422075 -0.000566407 0 -0 0 -1.19603 0.491845 5.79574e-06 0 -0 0 -0.00356068 -49.581 103.837 -53.0638 0.0099668
3.6 -0.00433857 -0.00058546 0 -0 0 -1.2327 0.492842 5.86365e-06 0 -0 0 -0.00365569 -49.2752 103.357 -52.8531 0.0099664
3.7 -0.00445634 -0.000604701 0 -0 0 -1.26956 0.493838 5.92674e-06 0 -0 0 -0.00375018 -48.9685 102.876 -52.6414 0.009966
3.8 -0.00457406 -0.000624132 0 -0 0 -1.30661 0.494835 5.98506e-06 0 -0 0 -0.00384416 -48.6608 102.392 -52.4289 0.00996559
3.9 -0.00469173 -0.000643754 0 -0 0 -1.34386 0.495831 6.03866e-06 0 -0 0 -0.00393764 -48.3522 101.908 -52.2154 0.00996517
4 -0.00480934 -0.00066357 0 -0 0 -1.38131 0.496828 6.08758e-06 0 -0 0 -0.00403062 -48.0426 101.421 -52.0009 0.00996475
4.1 -0.0049269 -0.00068358 0 -0 0 -1.41897 0.497824 6.13185e-06 0 -0 0 -0.0041231 -47.7321 100.933 -51.7856 0.00996432
4.2 -0.00504441 -0.000703789 0 -0 0 -1.45683 0.498821 6.17153e-06 0 -0 0 -0.00421509 -47.4206 100.442 -51.5692 0.00996388
4.3 -0.00516186 -0.000724196 0 -0 0 -1.49489 0.499817 6.20663e-06 0 -0 0 -0.0043066 -47.108 99.9505 -51.3519 0.00996344
4.4 -0.00527927 -0.000744805 0 -0 0 -1.53317 0.500813 6.23721e-06 0 -0 0 -0.00439762 -46.7944 99.4568 -51.1336 0.00996298
4.5 -0.00539661 -0.000765617 0 -0 0 -1.57166 0.50181 6.26328e-06 0 -0 0 -0.00448816 -46.4798 98.9612 -50.9143 0.00996252
4.6 -0.00551391 -0.000786634 0 -0 0 -1.61037 0.502806 6.2849e-06 0 -0 0 -0.00457823 -46.164 98.4638 -50.694 0.00996205
4.7 -0.00563115 -0.00080786 0 -0 0 -1.64929 0.503802 6.30207e-06 0 -0 0 -0.00466782 -45.8472 97.9645 -50.4727 0.00996157
4.8 -0.00574834 -0.000829296 0 -0 0 -1.68845 0.504798 6.31484e-06 0 -0 0 -0.00475695 -45.5292 97.4633 -50.2504 0.00996108
4.9 -0.00586548 -0.000850944 0 -0 0 -1.72782 0.505794 6.32322e-06 0 -0 0 -0.0048456 -45.2101 96.96 -50.027 0.00996059
5 -0.00598256 -0.000872807 0 -0 0 -1.76743 0.50679 6.32725e-06 0 -0 0 -0.0049338 -44.8898 96.4548 -49.8026 0.00996008
5.1 -0.00609959 -0.000894888 0 -0 0 -1.80727 0.507786 6.32694e-06 0 -0 0 -0.00502152 -44.5683 95.9476 -49.5771 0.00995957
5.2 -0.00621657 -0.000917188 0 -0 0 -1.84735 0.508782 6.32232e-06 0 -0 0 -0.00510879 -44.2455 95.4383 -49.3505 0.00995904
5.3 -0.0063335 -0.000939711 0 -0 0 -1.88767 0.509778 6.3134e-06 0 -0 0 -0.0051956 -43.9215 94.9268 -49.1228 0.0099585
5.4 -0.00645037 -0.000962459 0 -0 0 -1.92823 0.510774 6.3002e-06 0 -0 0 -0.00528195 -43.5962 94.4133 -48.8941 0.00995796
5.5 -0.00656719 -0.000985436 0 -0 0 -1.96904 0.511769 6.28274e-06 0 -0 0 -0.00536784 -43.2697 93.8975 -48.6642 0.0099574
5.6 -0.00668395 -0.00100864 0 -0 0 -2.0101 0.512765 6.26103e-06 0 -0 0 -0.00545327 -42.9417 93.3796 -48.4332 0.00995683
5.7 -0.00680066 -0.00103208 0 -0 0 -2.05142 0.513761 6.23508e-06 0 -0 0 -0.00553824 -42.6125 92.8593 -48.201 0.00995625
5.8 -0.00691731 -0.00105576 0 -0 0 -2.093 0.514756 6.20491e-06 0 -0 0 -0.00562276 -42.2818 92.3368 -47.9676 0.00995566
5.9 -0.00703391 -0.00107968 0 -0 0 -2.13484 0.515752 6.17052e-06 0 -0 0 -0.00570681 -41.9497 91.812 -47.7331 0.00995505
6 -0.00715046 -0.00110384 0 -0 0 -2.17695 0.516747 6.13192e-06 0 -0 0 -0.00579041 -41.6162 91.2847 -47.4974 0.00995444
6.1 -0.00726695 -0.00112824 0 -0 0 -2.21933 0.517743 6.0891e-06 0 -0 0 -0.00587354 -41.2812 90.755 -47.2604 0.00995381
6.2 -0.00738338 -0.0011529 0 -0 0 -2.26199 0.518738 6.04208e-06 0 -0 0 -0.0059562 -40.9447 90.2229 -47.0222 0.00995316
6.3 -0.00749976 -0.0011778 0 -0 0 -2.30493 0.519733 5.99086e-06 0 -0 0 -0.0060384 -40.6066 89.6882 -46.7827 0.0099525
6.4 -0.00761608 -0.00120297 0 -0 0 -2.34816 0.520728 5.93543e-06 0 -0 0 -0.00612012 -40.2669 89.151 -46.542 0.00995183
6.5 -0.00773235 -0.00122839 0 -0 0 -2.39168 0.521723 5.87578e-06 0 -0 0 -0.00620137 -39.9257 88.6111 -46.3 0.00995114
6.6 -0.00784856 -0.00125408 0 -0 0 -2.4355 0.522718 5.81192e-06 0 -0 0 -0.00628214 -39.5828 88.0686 -46.0566 0.00995044
6.7 -0.00796471 -0.00128003 0 -0 0 -2.47962 0.523713 5.74384e-06 0 -0 0 -0.00636243 -39.2382 87.5234 -45.8119 0.00994972
6.8 -0.0080808 -0.00130626 0 -0 0 -2.52405 0.524708 5.67152e-06 0 -0 0 -0.00644223 -38.8919 86.9753 -45.5658 0.00994898
6.9 -0.00819683 -0.00133276 0 -0 0 -2.56879 0.525703 5.59496e-06 0 -0 0 -0.00652153 -38.5439 86.4245 -45.3184 0.00994822
